collection_id,title_en,title_es,title_pt,indigenous_title,languages_documented,language_codes,countries,collectors,collection_url,islandora_pid
1281,Chilean Languages Collection of Oscar Aguilera and José Tonko,Colección de Lenguas Chilenas de Oscar Aguilera y José Tonko,Coleção de Línguas Chilenas de Oscar Aguilera e José Tonko,,Kawésqar; Yagán,alc; yag,Chile,José Tonko; Oscar Aguilera,https://ailla.utexas.org/collections/1281,ailla:124482
566,Chol Collection of Carol Rose Little,Colección de chol de Carol Rose Little,Coleção Chol de Carol Rose Little,,Ch'ol,ctu,Mexico,Carol Rose Little,https://ailla.utexas.org/collections/566,ailla:280208
862,Chol Collection of Juan Jesús Vázquez Álvarez and Jessica Coon,Colección del Chol de Juan Jesús Vázquez Álvarez y Jessica Coon,Coleção Chol de Juan Jesús Vázquez Álvarez e Jessica Coon,,Ch'ol,ctu,Mexico,Jessica Coon; Juan Jesús Vázquez Álvarez,https://ailla.utexas.org/collections/862,ailla:261383
986,Chuj Oral Tradition Collection of Pedro Mateo Pedro and Jessica Coon,Colección de Tradición Oral Chuj de Pedro Mateo Pedro y Jessica Coon,Coleção da tradição oral de Chuj de Pedro Mateo Pedro e Jessica Coon,Lolonel Sb'eyb'al Chuj,Chuj,cac,Guatemala,Pedro Mateo Pedro; Alberto Gómez; Nicolás Alonzo; Audilia Estela Miguel; Nicolás Gaspar Gaspar; Diego Avilio; Candelaria Domingo; Elizabeth Carolan,https://ailla.utexas.org/collections/986,ailla:254994
662,CILLA I: Proceedings of the First Conference on Indigenous Languages of Latin America,CILLA I: Memorias del Primer Congreso de Idiomas Indígenas de Latinoamérica,CILLA I: Anais da Primeira Conferência sobre idiomas indígenas da América Latina,,"Popoluca, Oluta; Quechua; Sipakapense; Hup; Chorti; Qom; Inga; Q'anjob'al; Iquito; Tojolab'al; Maya, Yucatec; Quechua, Cuzco; South American Indigenous Languages; Záparo; Zapotec, Western Tlacolula Valley",plo; qwe; qum; jup; caa; tob; inb; kjb; iqu; toj; yua; quz; sai; zro; zab,United States of America,,https://ailla.utexas.org/collections/662,ailla:280013
663,CILLA II: Proceedings of the Second Conference on Indigenous Languages of Latin America,CILLA II: Memorias del Segundo Congreso de Idiomas Indígenas de Latinoamérica,CILLA II: Anais da Segunda Conferência sobre Idiomas Indígenas da América Latina,,"Chatino, Eastern San Juan Quiahije; K'ichee'; Ch'ol; Lacandon; Quechua; Páez; Chatino, Eastern, Santiago Yaitepec; Piratapuyo; Tzotzil; Tzeltal; Chatino, Eastern, San Marcos Zacatepec; Chatino, Zenzontepec; Qom; Nahuatl, Central; Nanti; Q'anjob'al; Kaqchikel; Mam; Iquito; Tepehua, Huehuetla; Ixil; Mapudungun; Maya, Yucatec; Quechua, Cuzco; Andoke; Wanano; Waimiri-Atroarí; Yukpa; Wichí Lhamtés Güisnay; Kukama-Kukamiria; Pima Bajo; Yaqui; Warekena; Yavitero; Tunebo, Angosturas; Nahuatl, Istmo-Pajapan; Shawi; Tuyuca; Chatino, Eastern, San Miguel Panixtlahuaca",ctp; quc; ctu; lac; qwe; pbb; ctp; pir; tzo; tzh; ctz; czn; tob; nhn; cox; kjb; cak; mam; iqu; tee; ixl; arn; yua; quz; ano; gvc; atr; yup; mzh; cod; pia; yaq; gae; yvt; tnd; nhp; cbt; tue; ctp,United States of America,,https://ailla.utexas.org/collections/663,ailla:280014
666,CILLA III: Proceedings of the Third Conference on Indigenous Languages of Latin America,CILLA III: Memorias del Tercero Congreso de Idiomas Indígenas de Latinoamérica,CILLA III: Anais da Terceira Conferência sobre Idiomas Indígenas da América Latina,,"Chatino, Eastern San Juan Quiahije; Seri; Ch'ol; Chipaya; Quechua, Ayacucho; Tzotzil; Tzeltal; Mopán; Chatino, Eastern, San Marcos Zacatepec; Chorti; Zoque, Soteapan; Qom; Kaqchikel; Mam; Iquito; Chontal, Tabasco; Maká; Ch'olti'; Capanahua; Tepehuan, Southeastern",ctp; sei; ctu; cap; quy; tzo; tzh; mop; ctz; caa; poi; tob; cak; mam; iqu; chf; mca; mis; kaq; stp,United States of America,,https://ailla.utexas.org/collections/666,ailla:280015
664,CILLA IV: Proceedings of the Fourth Conference on Indigenous Languages of Latin America,CILLA IV: Memorias del Cuarto Congreso de Idiomas Indígenas de Latinoamérica,CILLA IV: Anais da Quarta Conferência sobre idiomas indígenas da América Latina,,"Ese Ejja; Chatino, Eastern San Juan Quiahije; Nahuatl, Eastern Huasteca; Ch'ol; Chatino, Eastern, Santiago Yaitepec; Cubeo; Tzotzil; Tzeltal; Chatino, Eastern, San Marcos Zacatepec; Chatino, Eastern, Santa Lucía Teotepec; Chatino, Tataltepec de Valdés; Chatino, Zenzontepec; Kuna, San Blas; Chorti; Nahuatl, Central; Q'anjob'al; Tojolab'al; Ticuna; Paresi; Triqui, Chicahuaxtla; Huave, San Francisco del Mar; Chachi; Pima Bajo; Tarahumara, Western; Tepehuan, Northern; Zapotec, Mixtepec",ese; ctp; nhe; ctu; ctp; cub; tzo; tzh; ctz; cya; cta; czn; cuk; caa; nhn; kjb; toj; tca; pab; trs; hue; cbi; pia; tac; ntp; zpm,United States of America,,https://ailla.utexas.org/collections/664,ailla:280016
665,CILLA V: Proceedings of the Fifth Conference on Indigenous Languages of Latin America,CILLA V: Memorias del Quinto Congreso de Idiomas Indígenas de Latinoamérica,CILLA V: Anais da Quinta Conferência sobre idiomas indígenas da América Latina,,"Mixe, Tlahuitoltepec; Zapotec, San Dionisio Ocotepec; Totonac, Papantla; Totonac, Filomeno Mata-Coahuitlán; Tzotzil; Tzeltal; Chatino, Eastern, San Marcos Zacatepec; Chatino, Eastern, Santa Lucía Teotepec; Chatino, Tataltepec de Valdés; Qom; Tepehua, Huehuetla; Chontal, Tabasco; Mocoví; Chorote; Maká; Pilagá; Nivaclé; Maya, Yucatec; Zapotec, Isthmus; Karitiâna; Tarahumara, Central; Tuparí; Otomí, Tilapa; Totonac, Upper Necaxa; Wichí Lhamtés Güisnay; Kakataibo-Kashibo; Quechua, Huallaga; Akuntsu; Makuráp; Sakirabiá; Wayoró; Totonac, Highland; Amuzgo, San Pedro Amuzgos; Zapotec, San Lucas Quiaviní; Tepehua, Pisaflores; Tepehua, Tlachichilco; Totonac, Misantla; Totonac, Xicotepec de Juárez",mxp; ztu; top; tlp; tzo; tzh; ctz; cya; cta; tob; tee; chf; moc; crt; mca; plg; cag; yua; zai; ktn; tar; tpr; otl; tku; mzh; cbr; qub; aqz; mpu; skf; wyr; tos; azg; zab; tpp; tpt; tlc; too,United States of America,,https://ailla.utexas.org/collections/665,ailla:280017
667,CILLA VI: Proceedings of the Sixth Conference on Indigenous Languages of Latin America,CILLA VI: Memorias del Sexto Congreso de Idiomas Indígenas de Latinoamérica,CILLA VI: Anais da Sexta Conferência sobre Idiomas Indígenas da América Latina,,"Chatino, Eastern San Juan Quiahije; Mixe, Tlahuitoltepec; K'ichee'; Ch'ol; Huasteco; Chatino, Eastern, Santiago Yaitepec; Chatino, Eastern, San Marcos Zacatepec; Chatino, Tataltepec de Valdés; Chatino, Zenzontepec; Q'anjob'al; Mam; Nivaclé; Maya, Yucatec; Nahuatl, Highland Puebla; Zapotec, Western Tlacolula Valley",ctp; mxp; quc; ctu; hus; ctp; ctz; cta; czn; kjb; mam; cag; yua; azz; zab,United States of America,,https://ailla.utexas.org/collections/667,ailla:280018
