language_id,name_en,name_es,name_pt,indigenous_name,alternative_name,iso_639_3_code,language_family,language_family_id,language_family_code,countries,country_codes,ailla_language_url,description,islandora_pid,collection_count,collection_urls,earliest_item_year,latest_item_year,total_items,public_items,earliest_deposit_year,latest_deposit_year,latitude,longitude
471,Arabic,árabe,árabe,,,ara,,,,,,https://ailla.utexas.org/languages/471,,ailla:254615,0,,,,0,0,,,,
469,"Arabic, Algerian",árabe argeliano,árabe argelino,Dziria,"Algerian, Darja",arq,,,,Algeria,DZA,https://ailla.utexas.org/languages/469,Arabic spoken in Algeria,ailla:254613,0,,1977.0,1977.0,1,1,2017.0,2017.0,,
162,Arapaso,arapaço,arapaso,,"Araspaso, Koneá, Arapaço",arj,Tukanoan,275.0,sai,,,https://ailla.utexas.org/languages/162,,ailla:119652,1,https://ailla.utexas.org/collections/984,1978.0,2001.0,5,4,2008.0,2021.0,,
385,Araucanian,,araucaniana,,,sai,South American Indigenous Languages,556.0,sai,,,https://ailla.utexas.org/languages/385,,ailla:119880,8,https://ailla.utexas.org/collections/662; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/1004; https://ailla.utexas.org/collections/1821,,,0,0,,,,
190,Arawakan,arahuacana,arahuacana,,"Arahuacan, Arawakanas, Arahuacano, Maipurean, Maipuran, Maipureano, Maipúrean",awd,South American Indigenous Languages,556.0,sai,Venezuela; Brazil; Colombia; Honduras; Peru; Bolivia; Guyana; Suriname,VEN; BRA; COL; HND; PER; BOL; GUY; SUR,https://ailla.utexas.org/languages/190,"A large mainly South American language family that includes languages that are/were spoken in Peru, Bolivia, Brazil, Colombia, Venezuela, Guyana, Suriname, Honduras and Puerto Rico.",ailla:119684,2,https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/1663,1964.0,2020.0,7,7,2008.0,2020.0,,
362,Arawán,arauana,arauana,,Arauan,auf,,,,Brazil; Peru,BRA; PER,https://ailla.utexas.org/languages/362,A family of languages spoken in Brazil and Peru.,ailla:119856,0,,,,0,0,,,,
612,Arikapú,arikapú,arikapú,,"Maxubí, Aricapú, Mashubi",ark,South American Indigenous Languages,556.0,sai,Brazil,BRA,https://ailla.utexas.org/languages/612,,ailla:284520,1,https://ailla.utexas.org/collections/405,2021.0,2021.0,2,2,2022.0,2022.0,,
62,Arutani,arutani,arutani,Uruak,"Oewaku, Orotani, Awake, Auake, Auaqué, Aoqui",atx,South American Indigenous Languages,556.0,sai,Venezuela; Brazil,VEN; BRA,https://ailla.utexas.org/languages/62,,ailla:119550,3,https://ailla.utexas.org/collections/417; https://ailla.utexas.org/collections/1361; https://ailla.utexas.org/collections/924,1964.0,2017.0,6,2,2004.0,2022.0,,
554,Asháninka,asháninka,ashaninka,Asháninka,"Asháninga, Ashinanca, Kampa, Campa, Ashaninca, Asháninca",cni,Arawakan,190.0,awd,Brazil; Peru,BRA; PER,https://ailla.utexas.org/languages/554,Asháninka,ailla:274463,1,https://ailla.utexas.org/collections/564,2015.0,2019.0,6,6,2020.0,2020.0,,
214,Ashéninka Perené,ashéninka perené (campa),ashéninka perene,,"Ashéninca, Perené, “Perené Campa” (pej.)",prq,Arawakan,190.0,awd,Peru,PER,https://ailla.utexas.org/languages/214,,ailla:119708,1,https://ailla.utexas.org/collections/540,2009.0,2009.0,41,41,2009.0,2010.0,,
559,Australian languages,Idiomas australianos,línguas australianas,Australian languages,,aus,,,,Australia,AUS,https://ailla.utexas.org/languages/559,Australian languages,ailla:274684,0,,,,0,0,,,,
497,Austronesian,austronesio,austronésio,,,map,,,,Micronesia,FSM,https://ailla.utexas.org/languages/497,,ailla:254646,0,,,,0,0,,,,
177,Awakateko,aguacateco,aguacateco,Awakateko,"Aguacateco, Aguacatec",agu,Mayan,195.0,myn,Guatemala,GTM,https://ailla.utexas.org/languages/177,,ailla:119668,6,https://ailla.utexas.org/collections/1181; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/1621; https://ailla.utexas.org/collections/783; https://ailla.utexas.org/collections/987; https://ailla.utexas.org/collections/550,1964.0,2017.0,133,133,2008.0,2020.0,15.3778,-91.2817
215,Aymara,aymara,aymará,,,aym,Aymaran,234.0,sai,,,https://ailla.utexas.org/languages/215,,ailla:119709,0,,1960.0,1993.0,3,3,2010.0,2010.0,,
235,"Aymara, Central",aymara central,aymará central,Aymar,Aimara,ayr,Aymaran,234.0,sai,Argentina; Peru; Bolivia; Chile,ARG; PER; BOL; CHL,https://ailla.utexas.org/languages/235,"Aymara, Central",ailla:119729,3,https://ailla.utexas.org/collections/409; https://ailla.utexas.org/collections/462; https://ailla.utexas.org/collections/1104,1980.0,2019.0,21,21,2020.0,2022.0,,
548,"Aymara, Southern",aymara del sur,aimará do sul,Aymara aru,,ayc,Aymaran,234.0,sai,Peru,PER,https://ailla.utexas.org/languages/548,,ailla:269420,1,https://ailla.utexas.org/collections/926,2016.0,2018.0,5,4,2019.0,2019.0,,
234,Aymaran,aymarano,aymarana,Aymaran,,sai,South American Indigenous Languages,556.0,sai,Peru; Bolivia,PER; BOL,https://ailla.utexas.org/languages/234,Aymaran,ailla:119728,8,https://ailla.utexas.org/collections/662; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/1004; https://ailla.utexas.org/collections/1821,,,0,0,,,,
167,Baniwa,baniwa de Içana,baniwa,Medzeniako,"Baniba, Baniva, Maniba",bwi,Arawakan,190.0,awd,Venezuela; Brazil,VEN; BRA,https://ailla.utexas.org/languages/167,Baniwa,ailla:119657,3,https://ailla.utexas.org/collections/1181; https://ailla.utexas.org/collections/1801; https://ailla.utexas.org/collections/405,1927.0,2021.0,93,78,2020.0,2022.0,,
